"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2023-07-18"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2023-07-18"
"config.yaml" "93071d7928ba530ffd6ebe2ef173acb2" "site/built/config.yaml" "2023-07-18"
"index.md" "19273739f3a00da34d29e608f5a7f8af" "site/built/index.md" "2023-07-18"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2023-07-18"
"episodes/introduction.md" "8ec4f33d3988e197c5759631846f7e4f" "site/built/introduction.md" "2023-07-18"
"episodes/next-episode.Rmd" "f3207343e6b6463efd0e95de858dd6eb" "site/built/next-episode.md" "2023-07-18"
"episodes/02-next-episode.Rmd" "d6b56befa629356b6ad6abd1be316258" "site/built/02-next-episode.md" "2023-07-18"
"episodes/final-episode.Rmd" "e1bb648c03f7e463b85ec494b203da26" "site/built/final-episode.md" "2023-07-18"
"instructors/instructor-notes.md" "cae72b6712578d74a49fea7513099f8c" "site/built/instructor-notes.md" "2023-07-18"
"learners/reference.md" "1c7cc4e229304d9806a13f69ca1b8ba4" "site/built/reference.md" "2023-07-18"
"learners/setup.md" "8b560e25189bc613b01710870b24252d" "site/built/setup.md" "2023-07-18"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2023-07-18"
"renv/profiles/lesson-requirements/renv.lock" "144b0eb725fb08d1af7d6f0c4e7baa56" "site/built/renv.lock" "2023-07-18"
